,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
92,Asian handicap +1.5 ,2.02,2.02,Over/Under +151.5 ,2.07,1.98,Crvena zvezda mts,Lokomotiv Kuban,"Friday, 29 Jan  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/crvena-zvezda-mts-lokomotiv-kuban-fXEO6y0g/
93,Asian handicap -2.5 ,1.94,2.0,Over/Under +156.5 ,1.97,1.96,Unicaja,Anadolu Efes,"Friday, 29 Jan  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/unicaja-anadolu-efes-lzCG8cVt/
94,Asian handicap -11.5 ,2.05,1.92,Over/Under +155.5 ,2.02,2.02,Khimki M.,Zalgiris Kaunas,"Friday, 29 Jan  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/khimki-m-zalgiris-kaunas-OC6u3gaI/
95,Asian handicap -6.5 ,2.07,1.97,Over/Under +155.5 ,2.08,1.91,Real Madrid,Olympiakos,"Thursday, 28 Jan  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/real-madrid-olympiakos-piraeus-xGAq2DEO/
96,Asian handicap -14.5 ,1.99,1.97,Over/Under +157.5 ,2.02,1.93,Fenerbahce,Cedevita,"Thursday, 28 Jan  2016, 20:30",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/fenerbahce-cedevita-YNDS5eFa/
97,Asian handicap -13.5 ,1.92,2.06,Over/Under +164.5 ,2.05,1.92,CSKA Moscow,Bamberg,"Thursday, 28 Jan  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/cska-moscow-brose-bamberg-Uk7y4ZqC/
98,Asian handicap -1.5 ,1.94,2.0,Over/Under +150.5 ,2.0,1.94,Crvena zvezda mts,Unicaja,"Friday, 22 Jan  2016, 21:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/crvena-zvezda-mts-unicaja-tUlkhxo0/
99,Asian handicap +6.5 ,2.09,1.94,Over/Under +148.5 ,1.96,2.01,Darussafaka,Fenerbahce,"Friday, 22 Jan  2016, 20:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/darussafaka-fenerbahce-n7kogIVg/
100,Asian handicap +4.5 ,2.0,2.02,Over/Under +146 ,1.99,1.96,Zalgiris Kaunas,Olympiakos,"Friday, 22 Jan  2016, 19:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/zalgiris-kaunas-olympiakos-piraeus-rgZmDwNP/
101,Asian handicap -6.5 ,2.08,2.05,Over/Under +158.5 ,2.1,1.93,Khimki M.,Bamberg,"Friday, 22 Jan  2016, 19:00",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/khimki-m-brose-bamberg-xdrbjGFC/
102,Asian handicap -3.5 ,1.95,2.0,Over/Under +166.5 ,2.02,1.91,Real Madrid,Barcelona,"Thursday, 21 Jan  2016, 21:45",https://www.oddsportal.com/basketball/europe/euroleague-2015-2016/real-madrid-barcelona-Gns2kzVI/
