,AH,AH_Home,AH_Away,OU,Over,Under,Home_name,Away_name,Date,URL
1129,Asian handicap -9 ,2.06,1.96,Over/Under +194.5 ,1.95,1.99,Atlanta Hawks,Boston Celtics,"Sunday, 24 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/atlanta-hawks-boston-celtics-0GMvRZOh/
1130,Asian handicap -13 ,1.99,1.95,Over/Under +202 ,1.96,1.98,Miami Heat,Orlando Magic,"Sunday, 24 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/miami-heat-orlando-magic-8tMrQgva/
1131,Asian handicap -14 ,2.25,1.97,Over/Under +196 ,1.93,2.07,Indiana Pacers,Philadelphia 76ers,"Sunday, 24 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/indiana-pacers-philadelphia-76ers-v1YVSeft/
1132,Asian handicap -1.5 ,2.02,1.94,Over/Under +191.5 ,2.13,1.91,Washington Wizards,New York Knicks,"Sunday, 24 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/washington-wizards-new-york-knicks-MPNzSF9n/
1133,Asian handicap -10.5 ,2.04,1.91,Over/Under +207.5 ,1.98,2.04,Los Angeles Clippers,Sacramento Kings,"Saturday, 23 Nov  2013, 22:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-clippers-sacramento-kings-2us4XynP/
1134,Asian handicap +5 ,2.0,2.08,Over/Under +203 ,2.05,2.01,Los Angeles Lakers,Golden State Warriors,"Saturday, 23 Nov  2013, 05:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/los-angeles-lakers-golden-state-warriors-lxgM8h9O/
1135,Asian handicap -3.5 ,2.05,1.97,Over/Under +190 ,1.96,2.02,Portland Trail Blazers,Chicago Bulls,"Saturday, 23 Nov  2013, 05:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/portland-trail-blazers-chicago-bulls-AofI9YgI/
1136,Asian handicap -10.5 ,1.97,1.97,Over/Under +203 ,2.0,2.06,Dallas Mavericks,Utah Jazz,"Saturday, 23 Nov  2013, 03:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/dallas-mavericks-utah-jazz-hAaDAEvC/
1137,Asian handicap +1 ,1.98,1.97,Over/Under +184.5 ,1.92,2.02,Memphis Grizzlies,San Antonio Spurs,"Saturday, 23 Nov  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/memphis-grizzlies-san-antonio-spurs-MBr2DGfg/
1138,Asian handicap -9 ,1.95,2.0,Over/Under +202 ,1.98,1.99,Minnesota Timberwolves,Brooklyn Nets,"Saturday, 23 Nov  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/minnesota-timberwolves-brooklyn-nets-Kd15CzAa/
1139,Asian handicap -6.5 ,2.04,1.94,Over/Under +195.5 ,1.99,2.05,New Orleans Pelicans,Cleveland Cavaliers,"Saturday, 23 Nov  2013, 03:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/new-orleans-pelicans-cleveland-cavaliers-EJ09BfP5/
1140,Asian handicap +7.5 ,1.95,2.02,Over/Under +186 ,2.04,1.95,Boston Celtics,Indiana Pacers,"Saturday, 23 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/boston-celtics-indiana-pacers-0dfgFxQt/
1141,Asian handicap -3.5 ,2.06,1.95,Over/Under +197 ,1.97,2.02,Detroit Pistons,Atlanta Hawks,"Saturday, 23 Nov  2013, 02:30",https://www.oddsportal.com/basketball/usa/nba-2013-2014/detroit-pistons-atlanta-hawks-vmgcEdum/
1142,Asian handicap -3 ,2.07,1.99,Over/Under +190.5 ,2.0,1.98,Charlotte Hornets,Phoenix Suns,"Saturday, 23 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/charlotte-hornets-phoenix-suns-UD3NKb2J/
1143,Asian handicap -3 ,2.04,1.99,Over/Under +201.5 ,2.02,2.12,Philadelphia 76ers,Milwaukee Bucks,"Saturday, 23 Nov  2013, 02:00",https://www.oddsportal.com/basketball/usa/nba-2013-2014/philadelphia-76ers-milwaukee-bucks-842RJIHP/
