,League,Season,Home_score,Away_score,Win,OT,Home_p,Away_p,URL
4527,NBA,2014/2015,92.0,81.0,1.0,0.0,1.13,9.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/memphis-grizzlies-denver-nuggets-llmQqL51/
4528,NBA,2014/2015,106.0,92.0,1.0,0.0,3.25,1.45,https://www.oddsportal.com/basketball/usa/nba-2014-2015/miami-heat-cleveland-cavaliers-SYbHosyk/
4529,NBA,2014/2015,106.0,122.0,0.0,0.0,2.75,1.55,https://www.oddsportal.com/basketball/usa/nba-2014-2015/minnesota-timberwolves-brooklyn-nets-6PcLp1je/
4530,NBA,2014/2015,108.0,89.0,1.0,0.0,1.29,4.6,https://www.oddsportal.com/basketball/usa/nba-2014-2015/boston-celtics-philadelphia-76ers-K8aDnNLr/
4531,NBA,2014/2015,98.0,117.0,0.0,0.0,1.56,2.85,https://www.oddsportal.com/basketball/usa/nba-2014-2015/indiana-pacers-toronto-raptors-lrWKMf3C/
4532,NBA,2014/2015,105.0,97.0,1.0,0.0,1.94,2.05,https://www.oddsportal.com/basketball/usa/nba-2014-2015/washington-wizards-portland-trail-blazers-IaDoi3DR/
4533,NBA,2014/2015,86.0,91.0,0.0,0.0,3.5,1.4,https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-lakers-atlanta-hawks-zyOthqbL/
4534,NBA,2014/2015,102.0,89.0,1.0,0.0,1.17,7.5,https://www.oddsportal.com/basketball/usa/nba-2014-2015/phoenix-suns-new-york-knicks-MXJxgPrF/
4535,NBA,2014/2015,123.0,97.0,1.0,0.0,1.08,13.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/san-antonio-spurs-minnesota-timberwolves-SAKYg5T8/
4536,NBA,2014/2015,97.0,113.0,0.0,0.0,1.88,2.1,https://www.oddsportal.com/basketball/usa/nba-2014-2015/toronto-raptors-portland-trail-blazers-AiXGNzl6/
4537,NBA,2014/2015,111.0,118.0,0.0,1.0,1.31,4.1,https://www.oddsportal.com/basketball/usa/nba-2014-2015/new-orleans-pelicans-denver-nuggets-lKLUfoE2/
4538,NBA,2014/2015,108.0,123.0,0.0,0.0,6.2,1.19,https://www.oddsportal.com/basketball/usa/nba-2014-2015/orlando-magic-cleveland-cavaliers-C2xnW1y2/
4539,NBA,2014/2015,98.0,100.0,0.0,0.0,1.55,2.85,https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-clippers-houston-rockets-YBwrXsMe/
4540,NBA,2014/2015,109.0,100.0,1.0,0.0,1.4,4.3,https://www.oddsportal.com/basketball/usa/nba-2014-2015/oklahoma-city-thunder-chicago-bulls-vkvvYN6k/
4541,NBA,2014/2015,125.0,94.0,1.0,0.0,1.06,22.0,https://www.oddsportal.com/basketball/usa/nba-2014-2015/golden-state-warriors-new-york-knicks-SEzzZ3iq/
4542,NBA,2014/2015,88.0,85.0,1.0,0.0,1.3,4.25,https://www.oddsportal.com/basketball/usa/nba-2014-2015/utah-jazz-detroit-pistons-nHM5jWMG/
4543,NBA,2014/2015,96.0,83.0,1.0,0.0,1.37,3.6,https://www.oddsportal.com/basketball/usa/nba-2014-2015/memphis-grizzlies-milwaukee-bucks-8QN1iC7A/
4544,NBA,2014/2015,87.0,94.0,0.0,0.0,3.45,1.38,https://www.oddsportal.com/basketball/usa/nba-2014-2015/philadelphia-76ers-brooklyn-nets-viJchhh4/
4545,NBA,2014/2015,89.0,93.0,0.0,0.0,1.28,4.55,https://www.oddsportal.com/basketball/usa/nba-2014-2015/indiana-pacers-boston-celtics-00KggYxb/
4546,NBA,2014/2015,113.0,97.0,1.0,0.0,1.18,5.8,https://www.oddsportal.com/basketball/usa/nba-2014-2015/washington-wizards-sacramento-kings-IyVlfENi/
4547,NBA,2014/2015,87.0,96.0,0.0,0.0,3.4,1.42,https://www.oddsportal.com/basketball/usa/nba-2014-2015/phoenix-suns-atlanta-hawks-4YQpef8o/
4548,NBA,2014/2015,118.0,99.0,1.0,0.0,1.29,4.33,https://www.oddsportal.com/basketball/usa/nba-2014-2015/portland-trail-blazers-detroit-pistons-jVx3WAVp/
4549,NBA,2014/2015,114.0,103.0,1.0,0.0,3.0,2.39,https://www.oddsportal.com/basketball/usa/nba-2014-2015/denver-nuggets-golden-state-warriors-lMjyyiNT/
4550,NBA,2014/2015,129.0,99.0,1.0,0.0,1.84,2.25,https://www.oddsportal.com/basketball/usa/nba-2014-2015/dallas-mavericks-los-angeles-clippers-MaKvxX7N/
4551,NBA,2014/2015,113.0,99.0,1.0,0.0,1.2,6.75,https://www.oddsportal.com/basketball/usa/nba-2014-2015/oklahoma-city-thunder-minnesota-timberwolves-r9LzwDhH/
4552,NBA,2014/2015,95.0,88.0,1.0,0.0,1.5,2.94,https://www.oddsportal.com/basketball/usa/nba-2014-2015/boston-celtics-orlando-magic-lnMWwgwB/
4553,NBA,2014/2015,102.0,92.0,1.0,0.0,1.56,2.85,https://www.oddsportal.com/basketball/usa/nba-2014-2015/toronto-raptors-miami-heat-hGxCOGYa/
4554,NBA,2014/2015,101.0,91.0,1.0,0.0,2.04,2.02,https://www.oddsportal.com/basketball/usa/nba-2014-2015/charlotte-hornets-chicago-bulls-zqISvZN4/
4555,NBA,2014/2015,114.0,107.0,1.0,0.0,2.66,1.57,https://www.oddsportal.com/basketball/usa/nba-2014-2015/philadelphia-76ers-sacramento-kings-hKSNuF8b/
4556,NBA,2014/2015,94.0,101.0,0.0,0.0,1.39,3.55,https://www.oddsportal.com/basketball/usa/nba-2014-2015/los-angeles-lakers-new-york-knicks-ETTJtegh/
4557,NBA,2014/2015,125.0,128.0,0.0,1.0,2.08,1.93,https://www.oddsportal.com/basketball/usa/nba-2014-2015/san-antonio-spurs-cleveland-cavaliers-63QBrHOu/
